dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless | unitless | degrees_north | degrees_east | meters | unitless | ISO_8601 | ISO_8601
#field_type: string | string | float | float | float | string | datetime | datetime
Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IC|BJT|40.0183|116.1679|197.0|Baijiatuan, Beijing, China|2010-10-19T00:00:00Z|2013-04-17T00:00:00Z
IC|ENH|30.2762|109.4944|500.0|Enshi, Hubei Province, China|2010-10-19T00:00:00Z|2013-05-02T02:00:00Z
IC|HIA|49.2704|119.7414|620.0|Hailar, Neimenggu Autonomous Region, China|2010-10-19T00:00:00Z|2013-05-10T10:00:00Z
IC|KMI|25.1233|102.74|1975.0|Kunming, Yunnan Province, China|2010-10-19T00:00:00Z|2013-01-17T01:00:00Z
IC|LSA|29.7031|91.127|3660.0|Tibet, China|2010-10-19T00:00:00Z|2013-05-09T11:30:00Z
IC|MDJ|44.617|129.5908|270.0|Mudanjiang, Heilongjiang Province, China|2010-10-19T00:00:00Z|2013-05-05T04:00:00Z
IC|QIZ|19.0291|109.8445|240.0|Qiongzhong, Hainan Province, China|2010-10-19T00:00:00Z|2013-01-10T00:00:00Z
IC|SSE|31.0948|121.1908|40.0|Shanghai, China|2010-10-19T00:00:00Z|2013-04-27T02:00:00Z
IC|WMQ|43.8138|87.7049|850.0|Urumqi, Xinjiang Province, China|2010-10-19T00:00:00Z|2013-04-27T04:00:00Z
IC|XAN|34.0313|108.9237|630.0|Xi'an, China|2010-10-19T00:00:00Z|2013-01-17T03:00:00Z
II|AAK|42.6375|74.4942|1633.1|Ala Archa, Kyrgyzstan|1990-10-12T00:00:00Z|2599-12-31T23:59:59Z
II|ABKT|37.9304|58.1189|678.0|Alibek, Turkmenistan|1993-04-25T00:00:00Z|2013-12-30T23:59:59Z
II|ABPO|-19.018|47.229|1528.0|Ambohimpanompo, Madagascar|2007-04-04T00:00:00Z|2599-12-31T23:59:59Z
II|ALE|82.5033|-62.35|60.0|Alert, N.W.T., Canada|1990-02-19T00:00:00Z|2599-12-31T23:59:59Z
II|ARU|56.4293|58.5615|260.0|Arti, Russia|2009-09-28T00:00:00Z|2599-12-31T23:59:59Z
II|ASCN|-7.9327|-14.3601|173.0|Butt Crater, Ascension Island|1994-10-01T00:00:00Z|2599-12-31T23:59:59Z
II|BFO|48.3301|8.3296|589.0|Black Forest Observatory, Schiltach, Germany|1996-05-29T00:00:00Z|2599-12-31T23:59:59Z
II|BORG|64.7474|-21.3268|110.0|Borgarfjordur, Asbjarnarstadir, Iceland|1994-07-30T00:00:00Z|2599-12-31T23:59:59Z
II|BRVK|53.0581|70.2828|330.0|Borovoye, Kazakhstan|1994-09-01T00:00:00Z|2599-12-31T23:59:59Z
II|CMLA|37.7637|-25.5243|429.0|Cha de Macela, Sao Miguel Island, Azores|1996-03-10T00:00:00Z|2599-12-31T23:59:59Z
II|COCO|-12.1901|96.8349|1.0|West Island, Cocos (Keeling) Islands|1996-12-15T00:00:00Z|2599-12-31T23:59:59Z
II|DGAR|-7.4121|72.4525|1.0|Diego Garcia, Chagos Islands, Indian Ocean|2004-01-22T00:00:00Z|2599-12-31T23:59:59Z
II|EFI|-51.6753|-58.0637|110.0|Mount Kent, East Falkland Island|1996-02-16T00:00:00Z|2599-12-31T23:59:59Z
II|ERM|42.015|143.1572|40.0|Erimo, Hokkaido Island, Japan|1990-05-21T00:00:00Z|2599-12-31T23:59:59Z
II|ESK|55.3167|-3.205|242.0|Eskdalemuir, Scotland, UK|1987-11-13T00:00:00Z|2599-12-31T23:59:59Z
II|FFC|54.725|-101.9783|338.0|Flin Flon, Canada|1993-08-28T00:00:00Z|2599-12-31T23:59:59Z
II|HOPE|-54.2836|-36.4879|20.0|Hope Point, South Georgia Island|1996-12-10T00:00:00Z|2599-12-31T23:59:59Z
II|IBFO|48.3319|8.3311|589.0|Black Forest Observatory, Schiltach, Germany|2011-04-10T00:00:00Z|2599-12-31T23:59:59Z
II|JTS|10.2908|-84.9525|340.0|Las Juntas de Abangares, Costa Rica|1995-04-23T00:00:00Z|2599-12-31T23:59:59Z
II|KAPI|-5.0142|119.7517|300.0|Kappang, Sulawesi, Indonesia|1999-02-06T00:00:00Z|2599-12-31T23:59:59Z
II|KDAK|57.7828|-152.5835|152.0|Kodiak Island, Alaska, USA|1997-06-09T00:00:00Z|2599-12-31T23:59:59Z
II|KIV|43.9553|42.6863|1054.0|Kislovodsk, Russia|1994-02-01T00:00:00Z|2599-12-31T23:59:59Z
II|KURK|50.7154|78.6202|184.0|Kurchatov, Kazakhstan|1995-03-26T00:00:00Z|2599-12-31T23:59:59Z
II|LVZ|67.8979|34.6514|630.0|Lovozero, Russia|1992-12-01T00:00:00Z|2599-12-31T23:59:59Z
II|MBAR|-0.6019|30.7382|1390.0|Mbarara, Uganda|1999-09-22T00:00:00Z|2599-12-31T23:59:59Z
II|MSEY|-4.6737|55.4792|475.0|Mahe, Seychelles|1995-05-15T00:00:00Z|2599-12-31T23:59:59Z
II|MSVF|-17.7448|178.0528|801.1|Monasavu, Fiji|1994-05-24T00:00:00Z|2599-12-31T23:59:59Z
II|NIL|33.6506|73.2686|629.0|Nilore, Pakistan|1994-12-18T00:00:00Z|2599-12-31T23:59:59Z
II|NNA|-11.9875|-76.8422|575.0|Nana, Peru|1988-06-22T00:00:00Z|2599-12-31T23:59:59Z
II|OBN|55.1146|36.5674|160.0|Obninsk, Russia|1988-09-14T00:00:00Z|2599-12-31T23:59:59Z
II|PALK|7.2728|80.7022|460.0|Pallekele, Sri Lanka|2000-08-22T00:00:00Z|2599-12-31T23:59:59Z
II|PFO|33.6107|-116.4555|1280.0|Pinon Flat, California, USA|2006-07-13T00:00:00Z|2599-12-31T23:59:59Z
II|RAYN|23.5225|45.5032|631.0|Ar Rayn, Saudi Arabia|1996-01-01T00:00:00Z|2599-12-31T23:59:59Z
II|RPN|-27.1267|-109.3344|110.0|Rapanui, Easter Island, Chile|1987-06-15T00:00:00Z|2599-12-31T23:59:59Z
II|SACV|14.9702|-23.6085|387.0|Santiago Island, Cape Verde|2000-05-29T00:00:00Z|2599-12-31T23:59:59Z
II|SHEL|-15.9588|-5.7457|537.0|Horse Pasture, St. Helena Island|1995-06-19T00:00:00Z|2599-12-31T23:59:59Z
II|SUR|-32.3797|20.8117|1770.0|Sutherland, South Africa|1990-10-30T00:00:00Z|2599-12-31T23:59:59Z
II|TAU|-42.9099|147.3204|132.0|Hobart, Tasmania, Australia|1994-01-17T00:00:00Z|2599-12-31T23:59:59Z
II|TLY|51.6807|103.6438|579.0|Talaya, Russia|1990-10-12T00:00:00Z|2599-12-31T23:59:59Z
II|UOSS|24.9453|56.2042|284.4|Univ. of Sharjah, Sharjah, United Arab Emirates|2009-05-07T00:00:00Z|2599-12-31T23:59:59Z
II|WRAB|-19.9336|134.36|366.0|Tennant Creek, NT, Australia|1994-03-27T00:00:00Z|2599-12-31T23:59:59Z
II|XPFO|33.6107|-116.4555|1280.0|Pinon Flat, California, USA|2007-06-26T00:00:00Z|2599-12-31T23:59:59Z
IP|PCAL|40.0309|-8.0718|474.0|Cha de Alvares|2010-04-07T00:00:00Z|2599-12-31T23:59:59Z
IU|ADK|51.8823|-176.6842|130.0|Adak, Aleutian Islands, Alaska|2009-07-19T00:00:00Z|2599-12-31T23:59:59Z
IU|AFI|-13.9093|-171.7773|706.0|Afiamalu, Samoa|2010-02-23T00:00:00Z|2599-12-31T23:59:59Z
IU|ANMO|34.94591|-106.4572|1820.0|Albuquerque, New Mexico, USA|2008-06-30T20:00:00Z|2599-12-31T23:59:59Z
IU|ANTO|39.868|32.7934|1090.0|Ankara, Turkey|2010-07-23T00:00:00Z|2599-12-31T23:59:59Z
IU|BBSR|32.371299|-64.696299|30.0|Bermuda Institute of Ocean Sciences, St George's Bermuda|2008-08-01T00:00:00Z|2599-12-31T23:59:59Z
IU|BILL|68.0653|166.4531|320.0|Bilibino, Russia|2009-07-03T00:00:00Z|2014-11-16T00:00:00Z
IU|CASY|-66.2792|110.5354|10.0|Casey, Antarctica|2009-07-10T00:00:00Z|2012-01-20T00:00:00Z
IU|CCM|38.0557|-91.2446|222.0|Cathedral Cave, Missouri, USA|1996-06-07T21:00:00Z|2011-07-14T00:00:00Z
IU|CHTO|18.8141|98.9443|420.0|Chiang Mai, Thailand|2009-09-19T14:35:27Z|2599-12-31T23:59:59Z
IU|COLA|64.873599|-147.8616|200.0|College Outpost, Alaska, USA|2009-07-09T00:00:00Z|2599-12-31T23:59:59Z
